month,county,pid
2019-01-01,Garza,1.0
2019-01-01,Gillespie,4.0
2019-01-01,Glasscock,0.0
2019-01-01,Goliad,0.0
2019-01-01,Gonzales,3.0
2019-01-01,Gray,1.0
2019-01-01,Grayson,10.0
2019-01-01,Gregg,11.0
2019-01-01,Grimes,3.0
2019-01-01,Guadalupe,5.0
2019-01-01,Hale,2.0
2019-01-01,Hall,0.0
2019-01-01,Hamilton,4.0
2019-01-01,Hansford,2.0
2019-01-01,Hardeman,0.0
2019-01-01,Hardin,5.0
2019-01-01,Harris,103.0
2019-01-01,Harrison,3.0
2019-01-01,Hartley,0.0
2019-01-01,Haskell,0.0
2019-01-01,Hays,6.0
2019-01-01,Hemphill,0.0
2019-01-01,Henderson,5.0
2019-01-01,Hidalgo,17.0
2019-01-01,Hill,4.0
2019-01-01,Hockley,2.0
2019-01-01,Hood,4.0
2019-01-01,Hopkins,4.0
2019-01-01,Houston,3.0
2019-01-01,Howard,2.0
2019-01-01,Hudspeth,0.0
2019-01-01,Hunt,4.0
2019-01-01,Hutchinson,2.0
2019-01-01,Irion,0.0
2019-01-01,Jack,1.0
2019-01-01,Jackson,1.0
2019-01-01,Jasper,3.0
2019-01-01,Jeff Davis,0.0
2019-01-01,Jefferson,9.0
2019-01-01,Jim Hogg,0.0
2019-01-01,Jim Wells,2.0
2019-01-01,Johnson,7.0
2019-01-01,Jones,0.0
2019-01-01,Karnes,1.0
2019-01-01,Kaufman,4.0
2019-01-01,Kendall,4.0
2019-01-01,Kenedy,0.0
2019-01-01,Kent,0.0
2019-01-01,Kerr,7.0
2019-01-01,Kimble,1.0
2019-01-01,King,0.0
2019-01-01,Kinney,0.0
2019-01-01,Kleberg,1.0
2019-01-01,Knox,0.0
2019-01-01,Lamar,5.0
2019-01-01,Lamb,2.0
2019-01-01,Lampasas,3.0
2019-01-01,La Salle,0.0
2019-01-01,Lavaca,6.0
2019-01-01,Lee,2.0
2019-01-01,Leon,0.0
2019-01-01,Liberty,4.0
2019-01-01,Limestone,6.0
2019-01-01,Lipscomb,0.0
2019-01-01,Live Oak,1.0
2019-01-01,Llano,2.0
2019-01-01,Loving,0.0
2019-01-01,Lubbock,9.0
2019-01-01,Lynn,1.0
2019-01-01,McCulloch,1.0
2019-01-01,McLennan,13.0
2019-01-01,McMullen,0.0
2019-01-01,Madison,1.0
2019-01-01,Marion,2.0
2019-01-01,Martin,0.0
2019-01-01,Mason,0.0
2019-01-01,Matagorda,3.0
2019-01-01,Maverick,2.0
2019-01-01,Medina,3.0
2019-01-01,Menard,0.0
2019-01-01,Midland,3.0
2019-01-01,Milam,2.0
2019-01-01,Mills,0.0
2019-01-01,Mitchell,0.0
2019-01-01,Montague,2.0
2019-01-01,Montgomery,8.0
2019-01-01,Moore,0.0
2019-01-01,Morris,1.0
2019-01-01,Motley,0.0
2019-01-01,Nacogdoches,6.0
2019-01-01,Navarro,5.0
2019-01-01,Newton,1.0
2019-01-01,Nolan,1.0
2019-01-01,Nueces,9.0
2019-01-01,Ochiltree,1.0
2019-01-01,Oldham,0.0
2019-01-01,Orange,3.0
2019-01-01,Palo Pinto,3.0
2019-01-01,Panola,2.0
2019-01-01,Parker,7.0
2019-01-01,Parmer,1.0
2019-01-01,Pecos,1.0
2019-01-01,Polk,4.0
2019-01-01,Potter,7.0
2019-01-01,Presidio,0.0
2019-01-01,Rains,1.0
2019-01-01,Randall,3.0
2019-01-01,Reagan,0.0
2019-01-01,Real,0.0
2019-01-01,Red River,2.0
2019-01-01,Reeves,0.0
2019-01-01,Refugio,1.0
2019-01-01,Roberts,0.0
2019-01-01,Robertson,2.0
2019-01-01,Rockwall,5.0
2019-01-01,Runnels,1.0
2019-01-01,Rusk,2.0
